country_code	CI5_volume	sex	max_asr	min_asr	ratio	hi_eth	lo_eth	n_sub
840	8	1	17.27	0.58	29.7758620689655	30	42	10
840	5	1	12.59	0.46	27.3695652173913	30	21	10
840	12	1	8.44	0.38	22.2105263157895	30	20	12
840	7	1	12.3	0.79	15.5696202531646	30	42	10
840	6	1	12.78	0.93	13.741935483871	30	21	9
840	9	1	12.72	1.05	12.1142857142857	30	21	11
414	11	2	0.71	0.06	11.8333333333333	26	25	2
840	11	1	9.25	0.82	11.2804878048781	30	21	12
702	5	2	1.59	0.17	9.35294117647059	40	27	3
840	2	1	10.9	1.19	9.15966386554622	10	20	8
36	12	2	5.2	0.59	8.8135593220339	62	63	2
414	7	2	0.88	0.1	8.8	25	26	2
840	4	1	15.91	1.96	8.11734693877551	30	42	9
702	3	1	10.11	1.34	7.54477611940298	20	27	3
702	6	1	8.91	1.2	7.425	40	27	3
702	5	1	8.25	1.14	7.23684210526316	20	27	3
702	8	2	0.89	0.13	6.84615384615385	40	27	3
414	10	2	1.45	0.24	6.04166666666667	26	25	2
414	6	1	9.76	2.42	4.03305785123967	26	25	2
36	11	2	0.68	0.18	3.77777777777778	62	63	2
376	6	2	0.57	0.16	3.5625	91	94	5
702	4	1	11.4	3.62	3.14917127071823	40	27	3
376	4	2	1.78	0.57	3.12280701754386	91	97	5
376	3	2	1.01	0.33	3.06060606060606	91	97	5
554	10	2	1.34	0.44	3.04545454545455	28	29	2
414	7	1	6.89	2.5	2.756	26	25	2
554	12	1	2.67	0.97	2.75257731958763	28	29	2
554	5	2	1.04	0.38	2.73684210526316	29	28	3
414	5	1	9.22	3.38	2.72781065088757	26	25	2
702	10	2	0.55	0.23	2.39130434782609	27	20	3
554	5	1	9.72	4.09	2.37652811735941	29	36	3
554	4	2	1.3	0.55	2.36363636363636	28	36	2
702	7	1	5.54	2.46	2.2520325203252	20	27	3
414	5	2	1.1	0.5	2.2	26	25	2
554	7	2	1.2	0.58	2.06896551724138	28	36	2
840	1	1	8.39	4.06	2.06650246305419	10	21	3
702	8	1	5.82	2.82	2.06382978723404	20	27	3
702	9	1	4.86	2.37	2.05063291139241	20	40	3
554	12	2	0.59	0.29	2.03448275862069	28	29	2
376	8	2	0.67	0.33	2.03030303030303	91	96	5
376	12	2	0.54	0.27	2	90	94	2
702	9	2	0.4	0.2	2	40	27	3
702	12	2	0.22	0.11	2	40	27	3
